"wkn_514000";"wkn_515100";"wkn_519000";"wkn_543900";"wkn_555200";"wkn_555750";"wkn_575200";"wkn_500340"
64.0;21.45;35.15;39.27;17.38;14.04;22.67;24.2875
64.15;21.78;35.7;39.5;17.08;14.18;23.35;24.625
64.0;21.75;35.4;39.7;17.33;14.36;23.37;24.65
65.5;22.24;36.3;39.85;17.35;14.6;23.69;24.975
65.01;22.29;36.35;39.8;17.55;14.58;23.7;24.875
64.65;22.025;36.35;39.65;17.72;14.45;23.7;24.55
63.9;21.9;36.15;38.75;17.73;14.35;23.6;24.6875
63.1;21.935;35.7;38.5;17.78;14.27;23.45;24.675
62.85;21.975;35.83;38.32;17.68;14.35;23.36;24.625
62.1;21.675;35.3;38.0;17.48;14.23;23.05;24.65
61.35;21.925;35.65;37.9;17.29;14.34;22.93;24.4125
61.5;22.025;35.9;37.9;17.0;14.18;22.98;24.425
61.0;21.95;35.7;36.9;16.78;14.1;22.85;24.55
60.5;21.9;35.45;36.5;16.74;13.99;22.61;24.55
60.4;21.95;35.9;36.9;16.82;14.07;22.62;24.725
60.0;22.0;35.6;37.45;16.65;14.13;22.52;24.725
58.58;21.95;35.65;37.0;16.5;14.05;22.35;24.6
57.7;21.935;35.45;37.55;16.47;13.96;22.21;24.5
57.35;21.775;35.25;37.65;16.3;13.66;21.85;24.325
58.6;21.825;35.3;38.15;16.5;13.72;22.2;24.425
59.3;21.95;35.6;38.5;16.78;13.65;22.2;24.225
58.05;21.575;35.35;37.9;16.54;13.45;21.8;23.825
58.0;21.55;35.55;37.8;16.5;13.42;21.58;23.65
58.1;21.275;35.15;38.15;16.46;13.2;21.3;23.4625
59.0;21.6;35.8;38.55;16.52;13.48;21.48;24.025
57.75;21.625;36.65;39.0;16.36;13.6;21.21;24.125
59.15;22.095;37.2;40.05;16.76;13.97;21.94;24.55
57.52;22.1;36.9;39.2;16.68;13.9;22.08;24.65
57.0;22.035;36.9;40.0;16.51;13.79;21.98;24.6
56.69;22.225;36.9;41.75;16.54;13.92;22.0;24.875
55.8;22.315;35.65;41.65;16.12;13.8;21.93;26.25
55.0;22.45;35.01;41.1;16.12;13.69;21.63;26.6
53.85;21.95;33.9;40.95;15.75;13.36;21.24;26.225
53.3;21.825;33.6;40.45;15.55;13.25;21.06;26.25
54.75;21.85;33.92;41.3;15.69;13.45;20.97;26.7125
54.05;21.6;33.6;40.9;15.49;13.32;20.62;26.5
53.4;21.5;33.2;41.4;15.21;13.36;20.1;25.625
52.7;21.25;33.15;41.0;15.4;13.6;19.85;25.625
54.5;21.5;33.7;41.6;15.55;13.79;20.2;26.3625
55.15;21.575;33.7;41.55;15.53;13.91;20.17;26.625
55.41;21.725;33.61;41.3;15.8;14.08;20.42;26.5625
55.6;21.675;33.5;41.15;15.76;14.09;20.66;26.5
56.05;21.85;33.4;40.7;15.79;14.09;20.86;26.3
56.45;21.95;33.9;41.76;16.12;14.34;21.05;26.475
56.3;21.975;34.35;41.15;16.3;14.45;21.12;26.275
56.8;22.3;34.4;41.9;16.26;14.62;21.25;26.35
